branch_id,branch_code,branch_name,address,city,state,country,phone,routing_number,manager_id,assets,opened_date
1,BR001,Atlanta Main Branch,536 Washington Blvd,Atlanta,NY,USA,555-171-4217,753706069,,6070869.01,2000-01-01
2,BR002,Houston Main Branch,411 Maple Ave,Houston,GA,USA,555-204-1530,965746058,,22853023.15,2000-01-01
3,BR003,Philadelphia Main Branch,273 High St,Philadelphia,FL,USA,555-537-3954,667017453,,43654496.34,2000-01-01
4,BR004,Chicago Main Branch,666 Oak Ln,Chicago,CA,USA,555-904-1437,947294308,,83306062.17,2000-01-01
5,BR005,Chicago Main Branch,637 Elm St,Chicago,GA,USA,555-487-8285,749419537,,31244792.34,2000-01-01
6,BR006,Charlotte Main Branch,570 Maple Ave,Charlotte,OH,USA,555-248-8083,458398361,,76266101.61,2000-01-01
7,BR007,Los Angeles Main Branch,432 High St,Los Angeles,IL,USA,555-733-8374,925303745,,8464460.61,2000-01-01
8,BR008,Chicago Main Branch,711 Broad St,Chicago,PA,USA,555-899-4556,538233094,,68070634.44,2000-01-01
9,BR009,Detroit Main Branch,143 High St,Detroit,PA,USA,555-860-6885,713231669,,48369165.60,2000-01-01
10,BR010,Detroit Main Branch,639 Cedar Rd,Detroit,NY,USA,555-444-8245,182616220,,80656137.81,2000-01-01
11,BR011,Houston Main Branch,733 Oak Ln,Houston,NY,USA,555-793-3066,496630977,,73742226.13,2000-01-01
12,BR012,New York Main Branch,318 Elm St,New York,MI,USA,555-467-3078,493860809,,42569899.84,2000-01-01
13,BR013,Los Angeles Main Branch,972 Cedar Rd,Los Angeles,OH,USA,555-939-1990,967517375,,22385052.45,2000-01-01
14,BR014,Detroit Main Branch,637 Oak Ln,Detroit,NY,USA,555-736-3563,467964587,,91052907.76,2000-01-01
15,BR015,Philadelphia Main Branch,556 Broad St,Philadelphia,GA,USA,555-843-9724,575672269,,34651523.25,2000-01-01
16,BR016,Houston Main Branch,462 Park Ave,Houston,NY,USA,555-451-6818,596999404,,2718292.13,2000-01-01
17,BR017,Philadelphia Main Branch,433 Broad St,Philadelphia,NC,USA,555-701-4906,488238753,,32792984.13,2000-01-01
18,BR018,Atlanta Main Branch,841 Cedar Rd,Atlanta,IL,USA,555-224-2559,627130022,,75923569.20,2000-01-01
19,BR019,Columbus Main Branch,207 Maple Ave,Columbus,OH,USA,555-880-3503,771104189,,89194434.39,2000-01-01
20,BR020,Detroit Main Branch,182 Broad St,Detroit,NY,USA,555-566-3783,991659114,,77385528.32,2000-01-01
